Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 20:14:18,2018-11-06 20:14:44,26.244s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 20:14:19,2018-11-06 20:14:44,25.609s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 20:14:19,2018-11-06 20:14:26,7.087s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 20:14:26,2018-11-06 20:14:28,2.307s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:14:28,2018-11-06 20:14:29,0.431s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:14:29,2018-11-06 20:14:29,0.223s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:14:29,2018-11-06 20:14:35,5.469s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:14:35,2018-11-06 20:14:44,9.231s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 20:14:44,2018-11-06 20:14:44,0.467s,PASSED
