Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 22:02:17,2018-11-06 22:02:32,15.063s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 22:02:17,2018-11-06 22:02:31,13.670s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 22:02:18,2018-11-06 22:02:22,3.992s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 22:02:22,2018-11-06 22:02:24,2.496s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 22:02:24,2018-11-06 22:02:25,0.436s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 22:02:25,2018-11-06 22:02:25,0.185s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:02:25,2018-11-06 22:02:25,0.316s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:02:25,2018-11-06 22:02:31,5.900s,PASSED
,,,,,,
Test Cases/Navigation,Chrome 70.0.3538.77,,2018-11-06 22:02:31,2018-11-06 22:02:32,0.726s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:02:31,2018-11-06 22:02:32,0.143s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:02:32,2018-11-06 22:02:32,0.098s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:02:32,2018-11-06 22:02:32,0.166s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:02:32,2018-11-06 22:02:32,0.105s,PASSED
