Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-07 11:11:17,2018-11-07 11:11:38,21.437s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-07 11:11:17,2018-11-07 11:11:38,20.255s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 11:11:18,2018-11-07 11:11:23,5.070s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 11:11:23,2018-11-07 11:11:26,2.922s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 11:11:26,2018-11-07 11:11:26,0.568s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 11:11:26,2018-11-07 11:11:27,0.288s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 11:11:27,2018-11-07 11:11:27,0.583s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 11:11:27,2018-11-07 11:11:38,10.321s,PASSED
