Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-07 11:15:54,2018-11-07 11:16:14,20.010s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-07 11:15:54,2018-11-07 11:16:14,19.353s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 11:15:55,2018-11-07 11:16:03,8.233s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 11:16:03,2018-11-07 11:16:06,2.965s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 11:16:06,2018-11-07 11:16:07,0.658s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 11:16:07,2018-11-07 11:16:07,0.161s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 11:16:07,2018-11-07 11:16:07,0.363s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 11:16:07,2018-11-07 11:16:14,6.622s,PASSED
