Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 20:55:29,2018-11-06 20:55:47,17.499s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 20:55:30,2018-11-06 20:55:47,17.035s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 20:55:30,2018-11-06 20:55:39,8.264s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 20:55:39,2018-11-06 20:55:41,2.318s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:55:41,2018-11-06 20:55:41,0.573s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:55:41,2018-11-06 20:55:42,0.213s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:55:42,2018-11-06 20:55:42,0.329s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:55:42,2018-11-06 20:55:46,4.409s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 20:55:46,2018-11-06 20:55:47,0.584s,PASSED
