Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-07 10:14:09,2018-11-07 10:14:55,45.788s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-07 10:14:10,2018-11-07 10:14:55,45.023s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 10:14:10,2018-11-07 10:14:15,4.509s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 10:14:15,2018-11-07 10:14:17,2.847s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 10:14:17,2018-11-07 10:14:18,0.739s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 10:14:18,2018-11-07 10:14:19,0.396s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 10:14:19,2018-11-07 10:14:19,0.340s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 10:14:19,2018-11-07 10:14:55,35.844s,FAILED
