Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 20:45:20,2018-11-06 20:45:48,27.810s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 20:45:21,2018-11-06 20:45:48,27.239s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 20:45:21,2018-11-06 20:45:28,7.221s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 20:45:28,2018-11-06 20:45:31,2.301s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:45:31,2018-11-06 20:45:32,1.157s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:45:32,2018-11-06 20:45:32,0.382s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:45:32,2018-11-06 20:45:38,5.437s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:45:38,2018-11-06 20:45:47,9.863s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 20:45:47,2018-11-06 20:45:48,0.460s,PASSED
