Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 20:21:05,2018-11-06 20:21:40,35.077s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 20:21:06,2018-11-06 20:21:40,34.520s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 20:21:06,2018-11-06 20:21:22,16.079s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 20:21:22,2018-11-06 20:21:26,3.196s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:21:26,2018-11-06 20:21:26,0.694s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:21:26,2018-11-06 20:21:27,0.225s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:21:27,2018-11-06 20:21:27,0.367s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:21:27,2018-11-06 20:21:40,12.758s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 20:21:40,2018-11-06 20:21:40,0.506s,PASSED
