Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 18:06:24,2018-11-06 18:06:51,26.418s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 18:06:25,2018-11-06 18:06:50,25.512s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 18:06:26,2018-11-06 18:06:32,6.047s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 18:06:32,2018-11-06 18:06:43,11.373s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 18:06:43,2018-11-06 18:06:44,0.877s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 18:06:44,2018-11-06 18:06:44,0.396s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 18:06:44,2018-11-06 18:06:45,0.578s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 18:06:45,2018-11-06 18:06:50,5.245s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 18:06:50,2018-11-06 18:06:50,0.237s,PASSED
