Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-07 10:23:45,2018-11-07 10:24:32,47.005s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-07 10:23:46,2018-11-07 10:24:32,46.460s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 10:23:47,2018-11-07 10:23:54,7.840s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 10:23:54,2018-11-07 10:23:58,3.166s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 10:23:58,2018-11-07 10:23:58,0.524s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 10:23:58,2018-11-07 10:23:58,0.268s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 10:23:58,2018-11-07 10:24:01,2.360s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 10:24:01,2018-11-07 10:24:32,31.624s,FAILED
