Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 20:11:54,2018-11-06 20:12:54,1m - 0.144s,PASSED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 20:11:55,2018-11-06 20:12:54,59.635s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 20:11:55,2018-11-06 20:12:31,36.232s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 20:12:31,2018-11-06 20:12:37,5.374s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:12:37,2018-11-06 20:12:38,1.744s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 20:12:38,2018-11-06 20:12:39,0.360s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:12:39,2018-11-06 20:12:39,0.574s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 20:12:39,2018-11-06 20:12:54,14.486s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 20:12:54,2018-11-06 20:12:54,0.554s,PASSED
