Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-07 11:07:42,2018-11-07 11:08:31,48.670s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-07 11:07:42,2018-11-07 11:08:30,47.583s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 11:07:43,2018-11-07 11:07:54,10.841s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 11:07:54,2018-11-07 11:07:57,3.253s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 11:07:57,2018-11-07 11:07:58,0.650s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 11:07:58,2018-11-07 11:07:58,0.216s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 11:07:58,2018-11-07 11:07:58,0.351s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 11:07:58,2018-11-07 11:08:30,31.853s,FAILED
