Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 21:59:22,2018-11-06 21:59:46,24.241s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 21:59:23,2018-11-06 21:59:41,18.319s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 21:59:23,2018-11-06 21:59:30,7.301s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 21:59:30,2018-11-06 21:59:34,3.644s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 21:59:34,2018-11-06 21:59:35,0.815s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 21:59:35,2018-11-06 21:59:35,0.225s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 21:59:35,2018-11-06 21:59:35,0.308s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 21:59:35,2018-11-06 21:59:41,5.465s,PASSED
closeBrowser,Chrome 70.0.3538.77,,2018-11-06 21:59:41,2018-11-06 21:59:41,0.276s,PASSED
,,,,,,
Test Cases/Navigation,Chrome 70.0.3538.77,,2018-11-06 21:59:41,2018-11-06 21:59:46,5.293s,FAILED
click,Chrome 70.0.3538.77,,2018-11-06 21:59:41,2018-11-06 21:59:46,5.148s,FAILED
