Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-07 10:13:02,2018-11-07 10:13:57,54.876s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-07 10:13:02,2018-11-07 10:13:56,53.901s,FAILED
openBrowser,Chrome 70.0.3538.77,,2018-11-07 10:13:03,2018-11-07 10:13:15,12.623s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-07 10:13:15,2018-11-07 10:13:19,3.547s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 10:13:19,2018-11-07 10:13:19,0.783s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-07 10:13:19,2018-11-07 10:13:20,0.296s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 10:13:20,2018-11-07 10:13:20,0.361s,PASSED
click,Chrome 70.0.3538.77,,2018-11-07 10:13:20,2018-11-07 10:13:56,35.979s,FAILED
