Suite/Test/Step Name,Browser,Description,Start time,End time,Duration,Status
Smoke,Chrome 70.0.3538.77,,2018-11-06 22:00:26,2018-11-06 22:00:49,23.198s,FAILED
,,,,,,
Test Cases/Login,Chrome 70.0.3538.77,,2018-11-06 22:00:26,2018-11-06 22:00:42,15.961s,PASSED
openBrowser,Chrome 70.0.3538.77,,2018-11-06 22:00:26,2018-11-06 22:00:29,2.724s,PASSED
navigateToUrl,Chrome 70.0.3538.77,,2018-11-06 22:00:29,2018-11-06 22:00:31,2.045s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 22:00:31,2018-11-06 22:00:32,0.490s,PASSED
setText,Chrome 70.0.3538.77,,2018-11-06 22:00:32,2018-11-06 22:00:32,0.184s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:32,2018-11-06 22:00:32,0.299s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:32,2018-11-06 22:00:42,9.905s,PASSED
,,,,,,
Test Cases/Navigation,Chrome 70.0.3538.77,,2018-11-06 22:00:42,2018-11-06 22:00:49,6.660s,FAILED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:42,2018-11-06 22:00:43,0.119s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:43,2018-11-06 22:00:43,0.131s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:43,2018-11-06 22:00:43,0.185s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:43,2018-11-06 22:00:43,0.107s,PASSED
click,Chrome 70.0.3538.77,,2018-11-06 22:00:43,2018-11-06 22:00:49,5.805s,FAILED
